H. oregonensis,,,,,,,,,,,,,,,
number,size (mm),log size,sex,Hair diameter,Hair length,Cuticle thickness,Hair-bearing segments,length of 3rd segment,ratio HL/3L,array width,HL/AW,Cuticle to diameter,,,
1,27,3.29583686600433,m,8.1E-06,648,7.68E-07,11,240,2.7,202,3.20792079207921,9.48E-02,,,
2,8.5,2.14006616349627,f,6.73E-06,465,7.19E-07,9,147,3.16326530612245,150,3.1,1.07E-01,,,
3,11,2.39789527279837,f,,,,,,,,,,,,
4,5,1.6094379124341,f,5.68E-06,374,,8,129,2.89922480620155,,,,,,
5,11.5,2.4423470353692,m,7.44E-06,484,8.74E-07,9,153,3.16339869281046,124,3.90322580645161,1.17E-01,,,
6,28,3.3322045101752,m,8.4868E-06,660,1.01E-06,10,272,2.42647058823529,217,3.04147465437788,1.19E-01,,,
7,25,3.2188758248682,f,8.01E-06,543,1.01E-06,10,270,2.01111111111111,186,2.91935483870968,1.26E-01,,,
8,15,2.70805020110221,m,6.995E-06,505,7.04E-07,10,185,2.72972972972973,152,3.32236842105263,1.01E-01,,,
9,22,3.09104245335832,f,8.81E-06,552,,9,205,2.69268292682927,,,,,,
10,4.9,1.58923520511658,m,5.69E-06,347,6.39E-07,6,87,3.98850574712644,,,1.12E-01,,,
11,5.85,1.76644166124377,m,5.16E-06,356,,6,100,3.56,,,,,,
12,7.12,1.96290772542388,m,5.53E-06,400,6.31E-07,8,116,3.44827586206897,122,3.27868852459016,1.14E-01,,,
13,16,2.77258872223978,m,8.38E-06,435,7.91E-07,9,188,2.31382978723404,150,2.9,9.44E-02,,,
14,13,2.56494935746154,f,7.75E-06,468,5.93E-07,9,176,2.65909090909091,,,7.65E-02,,,
15,6.5,1.87180217690159,f,6.32E-06,373,,6,103,3.62135922330097,,,,,,
16,18,2.89037175789616,m,7.83E-06,537,1.1E-06,10,205,2.61951219512195,178,3.01685393258427,1.4E-01,,,
17,16,2.77258872223978,m,7.9E-06,457,7.07E-07,10,153,2.98692810457516,150,3.04666666666667,8.95E-02,,,
18,10,2.30258509299405,m,5.53E-06,430,5.29E-07,9,144,2.98611111111111,,,9.57E-02,,,
19,26,3.25809653802148,f,8.95E-06,,9.86E-07,11,,,213,,1.1E-01,,,
20,20,2.99573227355399,f,8.83E-06,533,9.6E-07,10,224,2.37946428571429,189,2.82010582010582,1.09E-01,,,
21,4,1.38629436111989,f,,,,,,,,,,,,
22,3.87,1.35325450704169,m,,,,,,,,,,,,
23,5.15,1.63899671467564,f,,,,,,,,,,,,
24,5.65,1.73165554515835,f,,,,,,,,,,,,
25,4.5,1.50407739677627,m,,,,,,,,,,,,
